case_id,pool,engine,route_id,method_id,denominator_id,source_runtime_ms,generated_runtime_ms,median_source_ms,median_generated_ms,speedup_ratio,timing_status,timing_source_package,provenance_note
CONS_0005,consistency,mysql,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[130.73358207475394, 135.0565110333264, 134.72597498912364]","[141.08556904830039, 136.36937399860471, 135.20747504662722]",134.72597498912364,136.36937399860471,0.987948914325163,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0005,consistency,pg,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[403.03035790566355, 293.9206570154056, 400.2830960089341]","[299.9543258920312, 395.0170950265601, 294.1255259793252]",400.2830960089341,299.9543258920312,1.3344801573324077,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0005,consistency,spark,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[255.41328894905746, 209.2272659065202, 209.18472204357386]","[242.0031309593469, 206.7930200137198, 214.92869302164763]",209.2272659065202,214.92869302164763,0.9734729363726545,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0007,consistency,mysql,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[116.78019701503217, 115.36235001403838, 116.4318110095337]","[129.56679798662663, 116.65510002058, 116.45494704134762]",116.4318110095337,116.65510002058,0.998085904422465,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0007,consistency,pg,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[289.6333560347557, 395.79129207413644, 559.2424749629572]","[293.3138619409874, 437.4442499829456, 293.37660304736346]",395.79129207413644,293.37660304736346,1.3490894909920232,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0007,consistency,spark,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[224.99417490325868, 175.614898907952, 159.37382308766246]","[183.84225899353623, 172.24563704803586, 167.6465409109369]",175.614898907952,172.24563704803586,1.0195607965325504,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0009,consistency,mysql,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[151.60864708013833, 153.67110294755548, 147.32219802681357]","[157.61088603176177, 151.24068793375045, 152.11009595077485]",151.60864708013833,152.11009595077485,0.9967033820634839,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0009,consistency,pg,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[410.3717689868063, 400.7300300290808, 299.7400580206886]","[410.23533104453236, 294.9142010184005, 510.6744810473174]",400.7300300290808,410.23533104453236,0.9768296382682365,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0009,consistency,spark,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[435.1642669644207, 392.8798190318048, 387.4119040556252]","[415.92137597035617, 360.99076399113983, 357.3323260061443]",392.8798190318048,360.99076399113983,1.0883375925968224,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0010,consistency,mysql,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[137.03142199665308, 137.982829939574, 136.06676296330988]","[138.87698506005108, 132.7751720091328, 135.23461192380637]",137.03142199665308,135.23461192380637,1.0132866138874201,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0010,consistency,pg,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[367.91990499477834, 299.19123998843133, 296.5506149921566]","[529.0300720371306, 292.8156720008701, 296.3594290195033]",299.19123998843133,296.3594290195033,1.0095553260387125,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0010,consistency,spark,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[351.86859406530857, 262.49541610013694, 253.03792103659362]","[292.44821704924107, 252.70477205049247, 244.27190504502505]",262.49541610013694,252.70477205049247,1.0387434078517845,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0011,consistency,mysql,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[154.89827503915876, 155.36824008449912, 152.53439010120928]","[158.0552679952234, 162.60238690301776, 153.5891080275178]",154.89827503915876,158.0552679952234,0.9800260187711045,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0011,consistency,pg,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[403.10306404717267, 294.7430480271578, 399.43992102053016]","[403.8681980455294, 297.4244450451806, 413.32444595173]",399.43992102053016,403.8681980455294,0.9890353411176483,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0011,consistency,spark,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[420.23479100316763, 337.54556404892355, 320.39554498624057]","[379.16044902522117, 324.7750740265474, 331.6002709325403]",337.54556404892355,331.6002709325403,1.0179290960760183,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0012,consistency,mysql,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[140.39399905595928, 135.18937793560326, 139.677532017231]","[134.57055506296456, 133.20556795224547, 134.73428797442466]",139.677532017231,134.57055506296456,1.0379501812404424,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0012,consistency,pg,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[503.05691093672067, 294.74801395554096, 516.6971350554377]","[510.6721109477803, 292.5638851011172, 294.61073398124427]",503.05691093672067,294.61073398124427,1.707530829371433,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0012,consistency,spark,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[380.12397196143866, 290.752531029284, 284.807767951861]","[302.03334300313145, 278.1715659657493, 251.2618110049516]",290.752531029284,278.1715659657493,1.045227358230725,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0036,consistency,mysql,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[112.20114096067846, 116.72216793522239, 119.318509940058]","[117.46927502099425, 118.03961102850735, 119.68084995169193]",116.72216793522239,118.03961102850735,0.9888389746305857,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0036,consistency,pg,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[292.89009189233184, 329.8674779944122, 292.7800889592618]","[293.3385820360854, 293.6771069653332, 395.00123099423945]",292.89009189233184,293.6771069653332,0.9973201347523003,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0036,consistency,spark,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[213.2723149843514, 175.53194297943264, 167.17326396610588]","[186.62561802193522, 171.88523104414344, 164.94121600408107]",175.53194297943264,171.88523104414344,1.0212159701746142,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0037,consistency,mysql,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[135.73312002699822, 130.25027292314917, 137.1226110495627]","[132.58859002962708, 130.10449695866555, 132.55881099030375]",135.73312002699822,132.55881099030375,1.023946420558394,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0037,consistency,pg,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[293.4221130562946, 482.3837620206177, 292.84418106544763]","[520.5475100083277, 404.72168603446335, 292.9374069208279]",293.4221130562946,404.72168603446335,0.7249972590579413,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
CONS_0037,consistency,spark,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[451.93368301261216, 307.5412770267576, 282.91719895787537]","[339.19007901567966, 293.02379803266376, 276.30262600723654]",307.5412770267576,293.02379803266376,1.049543685842457,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
LONGTAIL_0011,longtail,mysql,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[135.8301700092852, 137.6921460032463, 142.2541260253638]","[139.26497392822057, 141.95038995239884, 130.99117891397327]",137.6921460032463,139.26497392822057,0.9887062203753765,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
LONGTAIL_0011,longtail,pg,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[413.780519971624, 395.48488100990653, 302.2434930317104]","[300.34943693317473, 408.0688990652561, 302.7434330433607]",395.48488100990653,302.7434330433607,1.3063367784207653,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
LONGTAIL_0011,longtail,spark,direct_llm_same_engine_rewrite,direct_llm,common_core_v0_40,"[467.4669570522383, 367.2442480456084, 340.57144296821207]","[388.548691989854, 362.1491260128096, 336.93955407943577]",367.2442480456084,362.1491260128096,1.0140691269613022,success,direct_llm_same_engine_timing_01,original full timing success retained from direct_llm_same_engine_timing_01
