case_id,pool,engine,route_id,candidate command if discoverable,whether command is safe to run,expected artifact outputs,hard_negative_semantics,preflight_status,caveat
PERF_0006,performance,pg,native_source,bash cases/PERF/PERF_0006/validation/run_pg_validation.sh,yes,cases/PERF/PERF_0006/runs/pg/result_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0006,performance,pg,human_positive,bash cases/PERF/PERF_0006/validation/run_pg_plan_collection.sh,yes,cases/PERF/PERF_0006/runs/pg/plans/plan_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0006,performance,pg,hard_negative,bash cases/PERF/PERF_0006/validation/run_pg_validation.sh,no,cases/PERF/PERF_0006/runs/pg/result_check.json,expected_rejected_by_checker,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; hard-negative route reuses generic validation script and needs manual semantics check
PERF_0006,performance,mysql,native_source,bash cases/PERF/PERF_0006/validation/run_mysql_validation.sh,yes,cases/PERF/PERF_0006/runs/mysql/result_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0006,performance,mysql,human_positive,bash cases/PERF/PERF_0006/validation/run_mysql_plan_collection.sh,yes,cases/PERF/PERF_0006/runs/mysql/plans/plan_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0006,performance,mysql,hard_negative,bash cases/PERF/PERF_0006/validation/run_mysql_validation.sh,no,cases/PERF/PERF_0006/runs/mysql/result_check.json,expected_rejected_by_checker,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; hard-negative route reuses generic validation script and needs manual semantics check
PERF_0006,performance,spark,native_source,,no,cases/PERF/PERF_0006/runs/spark/result_check.json,unknown,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable native/source command for engine
PERF_0006,performance,spark,human_positive,,no,cases/PERF/PERF_0006/runs/spark/plans/plan_check.json,unknown,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable human-positive command for engine
PERF_0006,performance,spark,hard_negative,,no,cases/PERF/PERF_0006/runs/spark/result_check.json,expected_rejected_by_checker,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable hard-negative command for engine
PERF_0007,performance,pg,native_source,bash cases/PERF/PERF_0007/validation/run_pg_validation.sh,yes,cases/PERF/PERF_0007/runs/pg/result_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0007,performance,pg,human_positive,bash cases/PERF/PERF_0007/validation/run_pg_plan_collection.sh,yes,cases/PERF/PERF_0007/runs/pg/plans/plan_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0007,performance,pg,hard_negative,bash cases/PERF/PERF_0007/validation/run_pg_validation.sh,no,cases/PERF/PERF_0007/runs/pg/result_check.json,expected_rejected_by_checker,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; hard-negative route reuses generic validation script and needs manual semantics check
PERF_0007,performance,mysql,native_source,bash cases/PERF/PERF_0007/validation/run_mysql_validation.sh,yes,cases/PERF/PERF_0007/runs/mysql/result_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0007,performance,mysql,human_positive,bash cases/PERF/PERF_0007/validation/run_mysql_plan_collection.sh,yes,cases/PERF/PERF_0007/runs/mysql/plans/plan_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0007,performance,mysql,hard_negative,bash cases/PERF/PERF_0007/validation/run_mysql_validation.sh,no,cases/PERF/PERF_0007/runs/mysql/result_check.json,expected_rejected_by_checker,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; hard-negative route reuses generic validation script and needs manual semantics check
PERF_0007,performance,spark,native_source,,no,cases/PERF/PERF_0007/runs/spark/result_check.json,unknown,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable native/source command for engine
PERF_0007,performance,spark,human_positive,,no,cases/PERF/PERF_0007/runs/spark/plans/plan_check.json,unknown,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable human-positive command for engine
PERF_0007,performance,spark,hard_negative,,no,cases/PERF/PERF_0007/runs/spark/result_check.json,expected_rejected_by_checker,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable hard-negative command for engine
PERF_0008,performance,pg,native_source,bash cases/PERF/PERF_0008/validation/run_pg_validation.sh,yes,cases/PERF/PERF_0008/runs/pg/result_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0008,performance,pg,human_positive,bash cases/PERF/PERF_0008/validation/run_pg_plan_collection.sh,yes,cases/PERF/PERF_0008/runs/pg/plans/plan_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0008,performance,pg,hard_negative,bash cases/PERF/PERF_0008/validation/run_pg_validation.sh,no,cases/PERF/PERF_0008/runs/pg/result_check.json,expected_rejected_by_checker,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; hard-negative route reuses generic validation script and needs manual semantics check
PERF_0008,performance,mysql,native_source,bash cases/PERF/PERF_0008/validation/run_mysql_validation.sh,yes,cases/PERF/PERF_0008/runs/mysql/result_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0008,performance,mysql,human_positive,bash cases/PERF/PERF_0008/validation/run_mysql_plan_collection.sh,yes,cases/PERF/PERF_0008/runs/mysql/plans/plan_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0008,performance,mysql,hard_negative,bash cases/PERF/PERF_0008/validation/run_mysql_validation.sh,no,cases/PERF/PERF_0008/runs/mysql/result_check.json,expected_rejected_by_checker,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; hard-negative route reuses generic validation script and needs manual semantics check
PERF_0008,performance,spark,native_source,,no,cases/PERF/PERF_0008/runs/spark/result_check.json,unknown,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable native/source command for engine
PERF_0008,performance,spark,human_positive,,no,cases/PERF/PERF_0008/runs/spark/plans/plan_check.json,unknown,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable human-positive command for engine
PERF_0008,performance,spark,hard_negative,,no,cases/PERF/PERF_0008/runs/spark/result_check.json,expected_rejected_by_checker,needs_manual_command_review,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable hard-negative command for engine
PERF_0013,performance,pg,native_source,bash cases/PERF/PERF_0013/validation/run_pg_validation.sh,yes,cases/PERF/PERF_0013/runs/pg/result_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0013,performance,pg,human_positive,bash cases/PERF/PERF_0013/validation/run_pg_plan_collection.sh,yes,cases/PERF/PERF_0013/runs/pg/plans/plan_check.json,unknown,ready_for_fresh_execution,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
