case_id,pool,engine,route_id,method_id,denominator_id,source_sql_path,schema_path,witness_data_path,expected_generated_sql_path,engine_supported_by_current_runner,runner_ready,retrieval_substrate_ready,demo_policy_frozen,contamination_guard_attested,artifact_contract_ready,generation_status_planned,exclusion_or_blocker_reason,claim_boundary
PERF_0006,performance,pg,r_bot_same_engine_rewrite,r_bot,common_core_v0_40_same_engine_120,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,cases/PERF/PERF_0006/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/generated/PERF_0006/pg/r_bot_same_engine_rewrite.sql,no,no,no,no,no,no,blocked_until_formal_r_bot_gate_closes,PG1 exploratory recovery proved bounded feasibility only; current formal same-engine runner is not benchmark-ready; retrieval substrate/index remain tmp-only; demo policy not benchmark-frozen; contamination guard unattested; artifact contract incomplete; old prior_method_pg10 evidence is historical-only and cannot be reused,coverage_aware_same_denominator_planning_only_not_current_benchmark_metric_evidence
PERF_0006,performance,mysql,r_bot_same_engine_rewrite,r_bot,common_core_v0_40_same_engine_120,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_mysql.sql,cases/PERF/PERF_0006/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/generated/PERF_0006/mysql/r_bot_same_engine_rewrite.sql,no,no,no,no,no,no,blocked_until_formal_r_bot_gate_closes,current formal R-Bot same-engine runner is not yet demonstrated on this engine; retrieval substrate/index remain tmp-only; demo policy not benchmark-frozen; contamination guard unattested; artifact contract incomplete; old prior_method_pg10 evidence is historical-only and cannot be reused,coverage_aware_same_denominator_planning_only_not_current_benchmark_metric_evidence
PERF_0006,performance,spark,r_bot_same_engine_rewrite,r_bot,common_core_v0_40_same_engine_120,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_spark.sql,cases/PERF/PERF_0006/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/generated/PERF_0006/spark/r_bot_same_engine_rewrite.sql,no,no,no,no,no,no,blocked_until_formal_r_bot_gate_closes,current formal R-Bot same-engine runner is not yet demonstrated on this engine; retrieval substrate/index remain tmp-only; demo policy not benchmark-frozen; contamination guard unattested; artifact contract incomplete; old prior_method_pg10 evidence is historical-only and cannot be reused,coverage_aware_same_denominator_planning_only_not_current_benchmark_metric_evidence
PERF_0007,performance,pg,r_bot_same_engine_rewrite,r_bot,common_core_v0_40_same_engine_120,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_pg.sql,cases/PERF/PERF_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/generated/PERF_0007/pg/r_bot_same_engine_rewrite.sql,no,no,no,no,no,no,blocked_until_formal_r_bot_gate_closes,PG1 exploratory recovery proved bounded feasibility only; current formal same-engine runner is not benchmark-ready; retrieval substrate/index remain tmp-only; demo policy not benchmark-frozen; contamination guard unattested; artifact contract incomplete; old prior_method_pg10 evidence is historical-only and cannot be reused,coverage_aware_same_denominator_planning_only_not_current_benchmark_metric_evidence
PERF_0007,performance,mysql,r_bot_same_engine_rewrite,r_bot,common_core_v0_40_same_engine_120,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_mysql.sql,cases/PERF/PERF_0007/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/generated/PERF_0007/mysql/r_bot_same_engine_rewrite.sql,no,no,no,no,no,no,blocked_until_formal_r_bot_gate_closes,current formal R-Bot same-engine runner is not yet demonstrated on this engine; retrieval substrate/index remain tmp-only; demo policy not benchmark-frozen; contamination guard unattested; artifact contract incomplete; old prior_method_pg10 evidence is historical-only and cannot be reused,coverage_aware_same_denominator_planning_only_not_current_benchmark_metric_evidence
PERF_0007,performance,spark,r_bot_same_engine_rewrite,r_bot,common_core_v0_40_same_engine_120,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_spark.sql,cases/PERF/PERF_0007/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/generated/PERF_0007/spark/r_bot_same_engine_rewrite.sql,no,no,no,no,no,no,blocked_until_formal_r_bot_gate_closes,current formal R-Bot same-engine runner is not yet demonstrated on this engine; retrieval substrate/index remain tmp-only; demo policy not benchmark-frozen; contamination guard unattested; artifact contract incomplete; old prior_method_pg10 evidence is historical-only and cannot be reused,coverage_aware_same_denominator_planning_only_not_current_benchmark_metric_evidence
PERF_0008,performance,pg,r_bot_same_engine_rewrite,r_bot,common_core_v0_40_same_engine_120,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_pg.sql,cases/PERF/PERF_0008/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/generated/PERF_0008/pg/r_bot_same_engine_rewrite.sql,no,no,no,no,no,no,blocked_until_formal_r_bot_gate_closes,PG1 exploratory recovery proved bounded feasibility only; current formal same-engine runner is not benchmark-ready; retrieval substrate/index remain tmp-only; demo policy not benchmark-frozen; contamination guard unattested; artifact contract incomplete; old prior_method_pg10 evidence is historical-only and cannot be reused,coverage_aware_same_denominator_planning_only_not_current_benchmark_metric_evidence
PERF_0008,performance,mysql,r_bot_same_engine_rewrite,r_bot,common_core_v0_40_same_engine_120,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_mysql.sql,cases/PERF/PERF_0008/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/generated/PERF_0008/mysql/r_bot_same_engine_rewrite.sql,no,no,no,no,no,no,blocked_until_formal_r_bot_gate_closes,current formal R-Bot same-engine runner is not yet demonstrated on this engine; retrieval substrate/index remain tmp-only; demo policy not benchmark-frozen; contamination guard unattested; artifact contract incomplete; old prior_method_pg10 evidence is historical-only and cannot be reused,coverage_aware_same_denominator_planning_only_not_current_benchmark_metric_evidence
PERF_0008,performance,spark,r_bot_same_engine_rewrite,r_bot,common_core_v0_40_same_engine_120,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_spark.sql,cases/PERF/PERF_0008/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/generated/PERF_0008/spark/r_bot_same_engine_rewrite.sql,no,no,no,no,no,no,blocked_until_formal_r_bot_gate_closes,current formal R-Bot same-engine runner is not yet demonstrated on this engine; retrieval substrate/index remain tmp-only; demo policy not benchmark-frozen; contamination guard unattested; artifact contract incomplete; old prior_method_pg10 evidence is historical-only and cannot be reused,coverage_aware_same_denominator_planning_only_not_current_benchmark_metric_evidence
PERF_0013,performance,pg,r_bot_same_engine_rewrite,r_bot,common_core_v0_40_same_engine_120,cases/PERF/PERF_0013/source.sql,cases/PERF/PERF_0013/schema/ddl_pg.sql,cases/PERF/PERF_0013/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/generated/PERF_0013/pg/r_bot_same_engine_rewrite.sql,no,no,no,no,no,no,blocked_until_formal_r_bot_gate_closes,PG1 exploratory recovery proved bounded feasibility only; current formal same-engine runner is not benchmark-ready; retrieval substrate/index remain tmp-only; demo policy not benchmark-frozen; contamination guard unattested; artifact contract incomplete; old prior_method_pg10 evidence is historical-only and cannot be reused,coverage_aware_same_denominator_planning_only_not_current_benchmark_metric_evidence
