baseline_id,baseline_method,category,representative_role,original_paper_task,input_output,pg,mysql,spark,cross_dialect,environment,common_core_fit,subset_only,citation_count_latest,citation_gate_20plus,token_cost_class,token_cost_notes,recommended_use,priority,source_urls,notes,boss_group,leaderboard_role
NATIVE_IDENTITY,Original SQL / Native optimizer,Control / native optimizer,Zero baseline for all speedup and failure denominators,Project control baseline: run source SQL without external rewrite,"Input: source.sql + schema + engine config; Output: no rewrite, runtime, result, source plan",Yes,Yes,Yes,No,Existing PG/MySQL/Spark harness; no external method env,Yes - all common-core cases,No,N/A,N/A control,None,No LLM call,Must-run control,P0,project:docs/PROJECT_PLAN.md; benchmark_spec/primary_metrics_v0.md,Must not be omitted; all method speedups are relative to this.,P0_control_or_tool,control_only
HUMAN_REFERENCE_POSITIVE,Human-curated positive rewrite,Control / reference rewrite,Reference target showing benchmark has valid optimization opportunities,"Project case-package reference, not a competitor method",Input: rewrite_pos_*.sql + source.sql + schema + witness data; Output: validated rewrite runtime and plan delta,Yes where case supports,Yes where case supports,Yes where case supports,No,Existing harness only,Yes - cases with positive rewrites,"No, but only cases with rewrite_pos_*",N/A,N/A control,None,No LLM call,"Must-run reference, not leaderboard competitor",P0,project:docs/PROJECT_PLAN.md,"Do not call it oracle; it is human-curated reference, not guaranteed optimal.",P0_control_or_tool,reference_or_guard
HARD_NEGATIVE_GUARD,Hard negative rejection check,Control / correctness guard,Verifies benchmark can reject plausible but wrong rewrites,"Project case-package negative examples, not a competitor method",Input: rewrite_neg_*.sql + source.sql + witness data; Output: NegativeRejectionRate / false-accept report,Yes where case supports,Yes where case supports,Yes where case supports,No,Existing checker and diff harness,Yes - consistency/common-core cases with negatives,Yes - cases with negative rewrites,N/A,N/A control,None,No LLM call,Must-run correctness guard,P0,project:benchmark_spec/CASE_ADMISSION_RULES_v0.md,Not part of speedup leaderboard.,P0_control_or_tool,reference_or_guard
SQLGLOT_OPT_SAME_DIALECT,"SQLGlot optimizer, same dialect",Rule/tool baseline,Lightweight parser/transpiler/optimizer rule baseline,"Generic SQL parser, transpiler, optimizer and AST tooling",Input: source.sql + dialect + optional schema; Output: optimized SQL string,Yes via postgres dialect,Yes via mysql dialect,Yes via spark dialect,No for same-dialect version,Python package sqlglot; no DB-specific training,Yes if parse+optimize succeeds,Yes - parser/optimizer-supported subset,N/A tool,N/A tool,None,No LLM call,Must-run tool baseline,P0,https://sqlglot.com/sqlglot.html,Good adapter smoke; still needs execution/result checks.,P0_control_or_tool,speedup_leaderboard
SQLGLOT_TRANSPILE,SQLGlot transpilation baseline,Rule/tool baseline / translation,First portability baseline for PG/MySQL/Spark dialect transfer,Generic SQL dialect translation,Input: source SQL + source dialect + target dialect; Output: target dialect SQL,Yes,Yes,Yes,Yes,Python package sqlglot,Yes for portability common-core,Yes - unsupported dialect features must be logged,N/A tool,N/A tool,None,No LLM call,Must-run portability baseline,P0,https://sqlglot.com/sqlglot.html,SQLGlot is not ground truth; all outputs still checked by your harness.,P0_control_or_tool,translation_leaderboard
CALCITE_HEP_RULES,Apache Calcite fixed-rule / HepPlanner baseline,Rule/optimizer framework,Traditional optimizer-rule baseline,Parser/validator/optimizer framework with rule-based and cost-based planning,Input: SQL + schema/model; Output: rewritten/optimized relational expression or SQL if generator path exists,Partial via JDBC/model/adapters,Partial via JDBC/model/adapters,No native; adapter work needed,No,"Java, Maven/Gradle, Apache Calcite, possible SQL-to-Rel and Rel-to-SQL adapter",Yes for SQL subset accepted by Calcite,Yes - Calcite SQL subset and SQL regeneration path,N/A framework,N/A framework,None,No LLM call,Must-run rule framework baseline,P0,https://calcite.apache.org/docs/,Use HEP/fixed rule order first; Volcano can be second setting.,P0_control_or_tool,speedup_leaderboard
LEARNED_REWRITE,LearnedRewrite / learned query rewrite,Learned rule-order search,Most representative learned SQL rewrite prior method,"Improve SQL performance while preserving results using MCTS + hybrid estimator over rewrite rules, implemented in Calcite",Input: SQL + schema/statistics + rule set; Output: rewritten SQL or rule sequence/optimized plan,Partial/adapter,Partial/adapter,No native; possible only through SQL subset/adapters,No,"Java/Calcite, model/checkpoint or training artifacts, statistics/cost model",Yes for PG/common-core subset after adapter,Yes - Calcite-supported SQL and method-supported rules,39 Scopus for MCTS system; 13 for PVLDB demo page,Pass if using MCTS system paper; verify at freeze,None,No LLM call,Main prior-method baseline,P1,https://pure.bit.edu.cn/en/publications/a-learned-query-rewrite-system-using-monte-carlo-tree-search; https://www.researchgate.net/publication/373966008_A_Learned_Query_Rewrite_System,Run original smoke first; report frozen-transfer vs adapted separately.,P1_main_prior_method,subset_only_candidate
WETUNE_RULES,WeTune rule discovery / verification,Rule discovery / verification,Representative automatic rewrite-rule discovery baseline/support,Automatically discover and verify SQL rewrite rules,"Input: plan/query templates and constraints; Output: verified rewrite rules, not always end-to-end rewritten SQL",Not direct,Not direct,Not direct,No,"Rule enumeration engine, SMT/verifier stack, likely Java/Python",Support analysis only unless rules are exported to an executor,Yes - rule-template subset,54 ResearchGate,"Pass, verify at freeze",None,No LLM call,Support baseline; not primary speedup competitor unless end-to-end rule applier exists,P1/P2,https://www.researchgate.net/publication/361246284_WeTune_Automatic_Discovery_and_Verification_of_Query_Rewrite_Rules,"Good for rule coverage, less direct for SQL-to-SQL leaderboard.",P2_support_or_secondary,support_only
QUERYBOOSTER,QueryBooster,Human-centered rule service,Representative human-specified middleware rewriting service,Improve SQL performance using user-authored VarSQL rules or example query pairs in middleware,Input: original query + VarSQL/example pairs; Output: generalized rewrite rules or rewritten queries,Likely yes with SQL accepted by backend,Likely yes with SQL accepted by backend,Unclear/no native,No,"Middleware service, rule language, examples, target DB connection",Subset only; requires human rules/examples,Yes - human-configured patterns,Unverified / likely dynamic,Verify; use as secondary if under 20,None,No LLM call,Secondary human-rule baseline,P2,https://dblp.org/rec/journals/pvldb/BaiA023; https://www.researchgate.net/publication/373369143_QueryBooster_Improving_SQL_Performance_Using_Middleware_Services_for_Human-Centered_Query_Rewriting,Do not mix with fully automatic methods without labeling human input.,P2_support_or_secondary,subset_only_candidate
SLABCITY,SlabCity,Program synthesis rewrite,Representative synthesis-based whole-query optimization method,Whole-query optimization using program synthesis without fixed rewrite rules,Input: SQL + schema/constraints + synthesizer config; Output: equivalent/faster SQL candidates,Likely original backend/subset; verify,No/unknown,No/unknown,No,"Synthesis engine, verifier/solver, likely specific DB runtime and workload setup",Subset only; start PG common-core smoke,Yes - synthesis-supported SQL subset and timeouts,12 ResearchGate / verify with Scholar,Fail hard gate now; strong frontier/representation exception,None,No LLM call,Main if boss allows representative exception; otherwise appendix,P1 exception,https://par.nsf.gov/biblio/10451715-slabcity-whole-query-optimization-using-program-synthesis; https://www.researchgate.net/scientific-contributions/Xinyu-Wang-2242296732,Highly representative despite citation gate risk; document exception explicitly.,P1_frontier_exception,subset_only_candidate
GENREWRITE,GenRewrite,LLM + natural-language rewrite rules + counterexample correction,Representative LLM rewrite with correction loop,Use LLMs and Natural Language Rewrite Rules to produce efficient equivalent SQL; correction via counterexamples,Input: SQL + schema + NLR rules + checker/counterexamples; Output: rewritten SQL after correction loop,Likely adaptable,Prompt-adaptable but unverified,Prompt-adaptable but unverified,Not core; could be adapted,"LLM API/local LLM, prompt/rule library, checker feedback loop, token logging",Yes for LLM-compatible common-core after fixed budget,"No in principle, but practical parser/checker failures expected",Recent 2024; count unverified/likely <20,Frontier exception; verify at freeze,High,"Multi-round LLM + correction; track input/output tokens, correction rounds, cost per valid rewrite",Main LLM prior-method baseline if reproducible,P1 exception,https://huggingface.co/papers/2403.09060; https://summarxiv.com/en/paper/2403.09060,Must cap correction rounds fairly.,P1_frontier_exception,subset_only_candidate
R_BOT,R-Bot,LLM + RAG/evidence-guided rule arrangement,Representative recent LLM-based query rewrite system,"Use multi-source rewrite evidence, retrieval and stepwise LLM rule selection for SQL rewrite",Input: SQL + schema + retrieved examples/rules/evidence; Output: rewritten SQL or rule sequence,Likely via original benchmark setup,Unclear,Unclear,No core support,"LLM API, RAG index/KB, CalciteRewrite components, original repo env",PG/common-core subset first,Yes - depends on original KB/rules and SQL subset,Recent 2024/2025; likely <20 / unverified,Frontier exception; verify at freeze,High,LLM calls + retrieval context; log prompt tokens and retrieved context size,Main LLM prior-method baseline if repo smoke passes,P1 exception,https://dblp.org/rec/journals/corr/abs-2412-01661; https://www.researchgate.net/publication/395559470_R-Bot_An_LLM-Based_Query_Rewrite_System,Do not let retrieval index contain your test positive rewrites.,P1_frontier_exception,subset_only_candidate
