case_id,pool,source_family,denominator_role,notes_link,caveat,included_in_common_core_v0
PERF_0006,performance,TPC-H,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0007,performance,TPC-H,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0008,performance,TPC-H,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0013,performance,TPC-H,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0017,performance,TPC-H,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0019,performance,TPC-H,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0024,performance,TPC-H,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0033,performance,TPC-DS,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0034,performance,TPC-DS,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0035,performance,TPC-DS,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0052,performance,TPC-DS,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0054,performance,TPC-DS,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0056,performance,TPC-DS,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,yes
PERF_0062,performance,TPC-DS,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,replacement for PERF_0002 in common_core_v0 slate; keep not yet admitted pending final freeze,yes
PERF_0077,performance,JOB/IMDB,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,JOB/IMDB real-schema bridge; human approved for review slate only; taxonomy/status cleanup required before freeze,yes
PERF_0082,performance,JOB/IMDB,perf_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,JOB/IMDB real-schema bridge; human approved for review slate only; taxonomy/status cleanup required before freeze,yes
CONS_0005,consistency,Calcite,consistency_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 consistency candidate; human review required before freeze,yes
CONS_0007,consistency,Calcite,consistency_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 consistency candidate; human review required before freeze,yes
CONS_0009,consistency,Calcite,consistency_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 consistency candidate; human review required before freeze,yes
CONS_0010,consistency,Calcite,consistency_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 consistency candidate; human review required before freeze,yes
CONS_0011,consistency,Calcite,consistency_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 consistency candidate; human review required before freeze,yes
CONS_0012,consistency,Calcite,consistency_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 consistency candidate; human review required before freeze,yes
CONS_0024,consistency,Calcite,consistency_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,replacement for CONS_0001; human-reviewed consistency candidate; keep not yet admitted until final freeze,yes
CONS_0036,consistency,VeriEQL,consistency_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 consistency candidate; human review required before freeze,yes
