case_id,pool,source_family,source_balance_bucket,evidence_status,preflight_basis,prior_experiment_participation,known_caveat,human_review_required,proposed_common_core_role,replacement_history
PERF_0006,performance,TPC-H,perf_tpch_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,seed_common_core_9;expanded_pg_evidence_46;prior_method_pg10;calcite_hep_4;calcite_hep_10;llmr2_10case,none,no,perf_core_candidate,
PERF_0007,performance,TPC-H,perf_tpch_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,expanded_pg_evidence_46;direct_llm_perf_34,none,no,perf_core_candidate,
PERF_0008,performance,TPC-H,perf_tpch_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,seed_common_core_9;expanded_pg_evidence_46;prior_method_pg10;calcite_hep_4;calcite_hep_10;llmr2_10case,none,no,perf_core_candidate,
PERF_0013,performance,TPC-H,perf_tpch_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,seed_common_core_9;expanded_pg_evidence_46;prior_method_pg10;calcite_hep_10;llmr2_10case,none,no,perf_core_candidate,
PERF_0017,performance,TPC-H,perf_tpch_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,seed_common_core_9;expanded_pg_evidence_46;prior_method_pg10;calcite_hep_10;llmr2_10case,none,no,perf_core_candidate,
PERF_0019,performance,TPC-H,perf_tpch_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,expanded_pg_evidence_46;direct_llm_perf_34;prior_method_pg10;calcite_hep_10;llmr2_10case,none,no,perf_core_candidate,
PERF_0024,performance,TPC-H,perf_tpch_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,seed_common_core_9;expanded_pg_evidence_46;prior_method_pg10;calcite_hep_10;llmr2_10case,none,no,perf_core_candidate,
PERF_0033,performance,TPC-DS,perf_tpcds_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,seed_common_core_9;expanded_pg_evidence_46;prior_method_pg10;calcite_hep_4;calcite_hep_10;llmr2_10case,none,no,perf_core_candidate,
PERF_0034,performance,TPC-DS,perf_tpcds_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,expanded_pg_evidence_46;direct_llm_perf_34,none,no,perf_core_candidate,
PERF_0035,performance,TPC-DS,perf_tpcds_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,expanded_pg_evidence_46;direct_llm_perf_34,none,no,perf_core_candidate,
PERF_0052,performance,TPC-DS,perf_tpcds_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,expanded_pg_evidence_46;direct_llm_perf_34;prior_method_pg10;calcite_hep_10;llmr2_10case,none,no,perf_core_candidate,
PERF_0054,performance,TPC-DS,perf_tpcds_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,seed_common_core_9;expanded_pg_evidence_46;prior_method_pg10;calcite_hep_4;calcite_hep_10;llmr2_10case,none,no,perf_core_candidate,
PERF_0056,performance,TPC-DS,perf_tpcds_template,complete_for_selection_review,artifact_preflight:complete_for_selection_review,expanded_pg_evidence_46;direct_llm_perf_34,none,no,perf_core_candidate,
PERF_0062,performance,TPC-DS,perf_tpcds_template,strong_replacement,replacement_preflight:strong_replacement,replacement_preflight_tpcds_tri_engine_review,release-grade incomplete; replacement candidate not yet formally reviewed,yes,perf_replacement_candidate,replaces PERF_0002 from first-pass slate
PERF_0077,performance,JOB/IMDB,perf_job_real_schema_bridge,needs_manual_review,artifact_preflight:needs_manual_review,review_prep_only,JOB/IMDB real-schema bridge; human review package quality,yes,perf_real_schema_bridge_candidate,
PERF_0082,performance,JOB/IMDB,perf_job_real_schema_bridge,needs_manual_review,artifact_preflight:needs_manual_review,review_prep_only,JOB/IMDB real-schema bridge; human review package quality,yes,perf_real_schema_bridge_candidate,
CONS_0005,consistency,Calcite,cons_calcite_semantics,needs_manual_review,artifact_preflight:needs_manual_review,consistency_tri_engine_review_packet,staged draft; human review package quality; formal review still open,yes,consistency_semantics_candidate,
CONS_0007,consistency,Calcite,cons_calcite_semantics,needs_manual_review,artifact_preflight:needs_manual_review,seed_common_core_9;expanded_pg_evidence_46;consistency_tri_engine_review_packet,staged draft; human review package quality; formal review still open,yes,consistency_semantics_candidate,
CONS_0009,consistency,Calcite,cons_calcite_semantics,needs_manual_review,artifact_preflight:needs_manual_review,consistency_tri_engine_review_packet,staged draft; human review package quality; formal review still open,yes,consistency_semantics_candidate,
CONS_0010,consistency,Calcite,cons_calcite_semantics,needs_manual_review,artifact_preflight:needs_manual_review,consistency_tri_engine_review_packet,staged draft; human review package quality; formal review still open,yes,consistency_semantics_candidate,
CONS_0011,consistency,Calcite,cons_calcite_semantics,needs_manual_review,artifact_preflight:needs_manual_review,consistency_tri_engine_review_packet,staged draft; human review package quality; formal review still open,yes,consistency_semantics_candidate,
CONS_0012,consistency,Calcite,cons_calcite_semantics,needs_manual_review,artifact_preflight:needs_manual_review,seed_common_core_9;expanded_pg_evidence_46;consistency_tri_engine_review_packet,staged draft; human review package quality; formal review still open,yes,consistency_semantics_candidate,
CONS_0024,consistency,Calcite,cons_calcite_semantics,acceptable_with_manual_review,replacement_preflight:acceptable_with_manual_review,consistency_tri_engine_review_packet;replacement_preflight_calcite,repaired after PG witness-discrimination issue; plan semantics not formally reviewed,yes,consistency_replacement_candidate,replaces CONS_0001 from first-pass slate
CONS_0036,consistency,VeriEQL,cons_verieql_semantics,needs_manual_review,artifact_preflight:needs_manual_review,consistency_tri_engine_review_packet,staged draft; human review package quality; formal review still open,yes,consistency_semantics_candidate,
CONS_0037,consistency,VeriEQL,cons_verieql_semantics,needs_manual_review,artifact_preflight:needs_manual_review,consistency_tri_engine_review_packet,staged draft; human review package quality; formal review still open,yes,consistency_semantics_candidate,
PORT_0003,portability,PARROT,port_parrot_stress,needs_manual_review,artifact_preflight:needs_manual_review,portability_tri_engine_review_prep_packet,portability review-prep only; plan semantics not formally reviewed,yes,portability_stress_candidate,
PORT_0004,portability,PARROT,port_parrot_stress,needs_manual_review,artifact_preflight:needs_manual_review,portability_tri_engine_review_prep_packet;port_bounded_6;port_cross_engine_closed_6_claim_packet,portability review-prep only; stress-route human approval required,yes,portability_stress_candidate,
PORT_0005,portability,PARROT,port_parrot_stress,needs_manual_review,artifact_preflight:needs_manual_review,portability_tri_engine_review_prep_packet,portability review-prep only; plan semantics not formally reviewed,yes,portability_stress_candidate,
PORT_0008,portability,PARROT,port_parrot_stress,acceptable_with_manual_review,replacement_preflight:acceptable_with_manual_review,portability_tri_engine_review_prep_packet;replacement_preflight_parrot,portability review-prep only; plan semantics not formally reviewed; human approval required,yes,portability_replacement_candidate,replaces PORT_0002 from first-pass slate
PORT_0012,portability,PARROT,port_parrot_stress,needs_manual_review,artifact_preflight:needs_manual_review,portability_tri_engine_review_prep_packet;port_bounded_6;port_cross_engine_closed_6_claim_packet,normalization caveat; portability stress case requires human approval,yes,portability_stress_candidate,
PORT_0013,portability,PARROT,port_parrot_stress,needs_manual_review,artifact_preflight:needs_manual_review,portability_tri_engine_review_prep_packet;port_bounded_6;port_cross_engine_closed_6_claim_packet,normalization caveat; portability stress case requires human approval,yes,portability_stress_candidate,
PORT_0022,portability,PARROT,port_parrot_stress,needs_manual_review,artifact_preflight:needs_manual_review,portability_tri_engine_review_prep_packet;port_bounded_6;port_cross_engine_closed_6_claim_packet,normalization caveat; portability stress case requires human approval,yes,portability_stress_candidate,
PORT_0024,portability,PARROT,port_parrot_stress,needs_manual_review,artifact_preflight:needs_manual_review,portability_tri_engine_review_prep_packet;port_bounded_6;port_cross_engine_closed_6_claim_packet,portability review-prep only; stress-route human approval required,yes,portability_stress_candidate,
PORT_0025,portability,PARROT,port_parrot_stress,needs_manual_review,artifact_preflight:needs_manual_review,portability_tri_engine_review_prep_packet;port_bounded_6;port_cross_engine_closed_6_claim_packet,normalization caveat; portability stress case requires human approval,yes,portability_stress_candidate,
LONGTAIL_0022,longtail,Stack Queries,longtail_stack_substrate,needs_manual_review,artifact_preflight:needs_manual_review,longtail_tri_engine_review_packet,manual or hybrid Stack-substrate case; normalization caveat; plan semantics not formally reviewed,yes,longtail_stack_substrate_candidate,
LONGTAIL_0023,longtail,Stack Queries,longtail_stack_substrate,acceptable_with_manual_review,replacement_preflight:acceptable_with_manual_review,longtail_tri_engine_review_packet;replacement_preflight_stack,manual or hybrid Stack-substrate case; not direct SEDE source text; plan semantics not formally reviewed,yes,longtail_stack_substrate_candidate,replaces LONGTAIL_0001 from first-pass slate
LONGTAIL_0024,longtail,Stack Queries,longtail_stack_substrate,needs_manual_review,artifact_preflight:needs_manual_review,longtail_tri_engine_review_packet,manual or hybrid Stack-substrate case; normalization caveat; plan semantics not formally reviewed,yes,longtail_stack_substrate_candidate,
