case_id,pool,current_benchmark_line,proposed_benchmark_line,current_dataset_line,proposed_dataset_line,current_promotion_status,proposed_promotion_status,current_admission_status,proposed_admission_status,current_next_gap,proposed_next_gap,proposed_notes_link
PERF_0006,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0007,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0008,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0013,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0017,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0019,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0024,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0033,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0034,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0035,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
