case_id,primary_pool,source_family,source_detail,benchmark_line,dataset_line,admission_status,promotion_status,tri_engine_closure,validated_engines,next_gap,registry_present,expected_pool_dir,case_directory_exists,manifest_paths,source_paths,rewrite_pos_paths,rewrite_neg_paths,result_check_paths,plan_check_paths,pg_result_check_paths,pg_plan_check_paths,mysql_result_check_paths,mysql_plan_check_paths,spark_result_check_paths,spark_plan_check_paths,checker_equivalents,witness_equivalents,latest_experiment_status,latest_evidence_status,latest_core_suggestion,latest_manual_questions,evidence_status,known_risks,seed_common_core_9,expanded_pg_evidence_46,direct_llm_perf_34,prior_method_pg10,port_bounded_6,other_known_prior_evidence,replacement_suggestions
PERF_0006,performance,TPC-H,"query1.sql；TPC-H Query 1 / Pricing Summary Report Query；manual freeze from qgen template（:1=96 days, cutoff 1998-08-27）",staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0006,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,True,True,False,True,False,calcite_hep_4|calcite_hep_10|llmr2_10case,
PERF_0007,performance,TPC-H,query6.sql；TPC-H Query 6 / Forecasting Revenue Change Query；manual frozen instance（:1=1995-01-01；:2=0.09；:3=25；:n -1=no row limit）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0007,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,False,True,True,False,False,,
PERF_0008,performance,TPC-H,query3.sql；TPC-H Query 3 / Shipping Priority Query；manual frozen instance（:1=MACHINERY；:2=1995-03-27；:n 10=LIMIT 10）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0008,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,True,True,False,True,False,calcite_hep_4|calcite_hep_10|llmr2_10case,
PERF_0013,performance,TPC-H,query5.sql；TPC-H Query 5 / Local Supplier Volume Query；manual frozen instance（:1=MIDDLE EAST；:2=1997-01-01；:n -1=no row limit）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0013,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,True,True,False,True,False,calcite_hep_10|llmr2_10case,
PERF_0017,performance,TPC-H,query10.sql；TPC-H Query 10 / Returned Item Reporting Query；manual frozen instance（:1=1993-11-01；:n 20=LIMIT 20）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0017,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,True,True,False,True,False,calcite_hep_10|llmr2_10case,
PERF_0019,performance,TPC-H,query13.sql；TPC-H Query 13 / Customer Distribution Query；manual frozen instance（:1=express；:2=deposits；:n -1=no row limit）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0019,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,False,True,True,True,False,calcite_hep_10|llmr2_10case,
PERF_0024,performance,TPC-H,query20.sql；TPC-H Query 20 / Potential Part Promotion Query；manual frozen instance（:1=pale；:2=1997-01-01；:3=BRAZIL；:n -1=no row limit）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0024,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,True,True,False,True,False,calcite_hep_10|llmr2_10case,
PERF_0002,performance,TPC-DS,query53.tpl，经 dsqgen materialize 成实例,common-core,common-core,admitted,admitted_common_core,yes,pg|mysql|spark,补 canonical AST / logical IR / SQL span→logical→physical mapping；做 characterization / stabilization,True,cases/PERF/PERF_0002,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,,,,,,,,,validation/checker.yaml,validation/witness_dataset.yaml,仅完成smoke,仅preflight,正式核心已登记,无,artifact_gap,missing result_check|package layout caveat|missing plan_check|admission/status conflict,False,False,False,False,False,,PERF_0062|PERF_0063|PERF_0010
PERF_0033,performance,TPC-DS,query55.tpl；dsqgen materialized instance（COUNT=1；QUALIFY=Y；SCALE=1；DIALECT=ansi；YEAR=2001；MONTH=12；MANAGER=36；LIMIT=100）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0033,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,True,True,False,True,False,calcite_hep_4|calcite_hep_10|llmr2_10case,
PERF_0034,performance,TPC-DS,query56.tpl；dsqgen materialized instance（COUNT=1；QUALIFY=Y；SCALE=1；DIALECT=ansi；YEAR=2000；MONTH=1；GMT=-8；COLOR=orchid/chiffon/lace；LIMIT=100）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0034,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,False,True,True,False,False,,
