row_id,case_id,pool,engine,denominator_id,method_id,route_id,source_sql_artifact,rewrite_sql_artifact,exact_match_retained,timing_attempted,timing_success,source_runtime_ms,rewrite_runtime_ms,speedup_ratio,timing_failure_type,timing_failure_detail,source_artifacts,notes
CONS_0005:mysql,CONS_0005,CONS,mysql,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0005/mysql/calcite_hep_rewrite.sql,true,true,true,141.907474026,140.277442988,1.01162005097,,,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0005/mysql/result_check.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0005:pg,CONS_0005,CONS,pg,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_pg_rewrite,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0005/pg/calcite_hep_pg_rewrite.sql,true,true,true,380.378462025,377.997440984,1.00629904011,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0005/pg/result_check.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/execution_command_matrix.csv,base PG40 exact row from retained execution validity packet
CONS_0005:spark,CONS_0005,CONS,spark,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0005/spark/calcite_hep_rewrite.sql,true,true,true,262.299782014,237.225771998,1.10569682124,,,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0005/spark/result_check.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0007:mysql,CONS_0007,CONS,mysql,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0007/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0007/mysql/calcite_hep_rewrite.sql,true,true,true,121.056764037,119.617640041,1.01203103485,,,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0007/mysql/result_check.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0007:pg,CONS_0007,CONS,pg,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_pg_rewrite,cases/CONS/CONS_0007/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0007/pg/calcite_hep_pg_rewrite.sql,true,true,true,394.414465991,377.640757011,1.04441710453,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0007/pg/result_check.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/execution_command_matrix.csv,base PG40 exact row from retained execution validity packet
CONS_0007:spark,CONS_0007,CONS,spark,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0007/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0007/spark/calcite_hep_rewrite.sql,true,true,true,148.57184689,153.30540901,0.969123319583,,,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0007/spark/result_check.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0009:mysql,CONS_0009,CONS,mysql,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0009/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0009/mysql/calcite_hep_rewrite.sql,true,true,true,154.800922959,151.480346103,1.02192084281,,,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0009/mysql/result_check.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0009:pg,CONS_0009,CONS,pg,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_pg_rewrite,cases/CONS/CONS_0009/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0009/pg/calcite_hep_pg_rewrite.sql,true,true,true,484.513610951,378.195353085,1.28111994766,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0009/pg/result_check.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/execution_command_matrix.csv,base PG40 exact row from retained execution validity packet
CONS_0009:spark,CONS_0009,CONS,spark,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0009/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0009/spark/calcite_hep_rewrite.sql,true,true,true,355.541015975,334.996305988,1.06132816876,,,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0009/spark/result_check.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0010:mysql,CONS_0010,CONS,mysql,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0010/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0010/mysql/calcite_hep_rewrite.sql,true,true,true,139.355620951,139.703518013,0.997509747313,,,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0010/mysql/result_check.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
