paper_location,table_or_appendix,artifact_path,artifact_type,supports_claims,denominator_id,track,method_or_route,status,claim_boundary,notes
Section 8.2,Table 8 denominator composition,reports/evaluation/common_core_v0/08_SECTION8_EVIDENCE_FREEZE_V1/section8_existing_values_patch_v1.csv,patch_guide,denominator composition and Track A 120 rows,common_core_v0_40|common_core_v0_40_same_engine_120,governance|Track A,NA,ready,fixed denominator only,Use together with table1_common_core_composition_v1.csv.
Section 8.3,Table 9 taxonomy coverage,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_taxonomy_coverage_v1.csv,taxonomy_axis_summary,axis coverage distinct tags and case coverage,common_core_v0_40,Track B taxonomy,NA,ready,benchmark characterization only not method ranking,Axis summary for Section 8.3.
Section 8.3,Table 10 pool taxonomy coverage,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_taxonomy_by_pool_v1.csv,taxonomy_pool_axis_summary,pool by axis coverage differences,common_core_v0_40,Track B taxonomy,NA,ready,pool stress characterization only,One row per pool x axis.
Section 8.3,Table 11 taxonomy-aware failure slicing readiness,reports/evaluation/common_core_v0/08_SECTION8_EVIDENCE_FREEZE_V1/section8_missing_data_ledger_v1.csv,readiness_ledger,readiness only for taxonomy-aware failure slicing,route_specific_failure_frontiers,Track B taxonomy plus failure,multiple,aggregation_ready,readiness only not final rendered failure slicing table,Freeze ledger marks this as aggregation-only rather than new experiment.
Section 8.5,Table 13 method evidence ledger,reports/evaluation/common_core_v0/08_SECTION8_EVIDENCE_FREEZE_V1/section8_missing_data_ledger_v1.csv,ledger_readiness,route-level method evidence readiness across main and bounded routes,mixed_route_denominators,Track A plus appendix,direct_llm|sqlglot|calcite|r_bot|llm_r2|learnedrewrite,aggregation_ready,do not promote bounded prior methods into main same-engine rows,Round 1 ledger maps what is already filled versus needs aggregation.
Section 8.6,Table 14 hard-negative guardrail,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,per_case_per_engine_guardrail_ledger,planned tested blocked and rejection-mode guardrail evidence,package_hard_negative_120,Track A controls,package_controls_only,ready,package hard-negative controls only not method candidate failures,111 tested executable semantic mismatches and 9 not-applicable rows remain visible.
Section 8.6,Table 15 candidate failure accounting,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,route_level_failure_accounting,method-generated candidate exact non-exact and retained failure buckets,route_specific_and_bounded,Track A plus appendix,multiple,ready_with_boundary,candidate failures only not package hard-negative rejection and bounded routes stay bounded,Repair route and recovered appendix denominator wording already normalized by erratum.
Section 8.7,Table 16 speedup slices,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,route_level_timing_slice_summary,correctness-gated timing denominators GM median win tie loss Regression@20,route_specific_exact_timed,Track A timing,multiple,ready_with_boundary,exact plus timing-success rows only; not a ranked leaderboard,SQLGlot combined remains aggregate route-family view only.
Section 8.7,Table 17 selected observability frontier,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/selected_plan_observability_frontier_v1.csv,selected_frontier_case_ledger,selected PG plan-delta diagnostics plus separate failure exemplar,selected_pg_frontier_plus_failure_exemplar,Track B observability,selected_pg_cases,ready_with_boundary,selected PG frontier only not full NodeAlignmentCoverage or denominator-wide causal attribution,Carries forward Table 10A/10B split explicitly.
Section 8.8,Table 18 PORT closure / readiness,reports/evaluation/common_core_v0/12_PORT_VERIFIER_ARTIFACT_MAP_V1/port_bounded_route_closure_v1.csv,bounded_port_closure_ledger,bounded PORT6 execution and consistency closure only,port_bounded_6,Track C portability,sqlglot_transpile|llm_translate|bounded_port_context,ready_with_boundary,not_full_PORT9; not_full_PORT_registry; not transfer-speed evidence,Derived directly from retained Table 8 synthesis.
