row_type,case_id,engine,pool,planned_rows,ready_to_execute_rows,blocked_rows,executed_rows,execution_failed_rows,match_exact_rows,mismatch_rows,not_checked_execution_failed_rows,not_checked_preflight_blocked_rows,execution_status_observed,consistency_check_status,category,failure_pattern,artifact_path,log_path,note
summary,,,,120,115,5,99,16,94,5,16,5,,,,,,,execution-validity-only-not-timing-or-speedup
pool,,,consistency,27,,,27,,24,3,,,,,,,,,pool breakdown
pool,,,longtail,18,,,16,2,16,,2,,,,,,,,pool breakdown
pool,,,performance,48,,,46,2,45,1,2,,,,,,,,pool breakdown
pool,,,portability,27,,5,10,12,9,1,12,5,,,,,,,pool breakdown
engine,,mysql,,40,,2,36,2,34,2,2,2,,,,,,,engine breakdown
engine,,pg,,40,,1,33,6,32,1,6,1,,,,,,,engine breakdown
engine,,spark,,40,,2,30,8,28,2,8,2,,,,,,,engine breakdown
case,CONS_0005,,consistency,3,,,3,,3,,,,,,,,,,case breakdown
case,CONS_0007,,consistency,3,,,3,,3,,,,,,,,,,case breakdown
case,CONS_0009,,consistency,3,,,3,,3,,,,,,,,,,case breakdown
case,CONS_0010,,consistency,3,,,3,,3,,,,,,,,,,case breakdown
case,CONS_0011,,consistency,3,,,3,,3,,,,,,,,,,case breakdown
case,CONS_0012,,consistency,3,,,3,,3,,,,,,,,,,case breakdown
case,CONS_0024,,consistency,3,,,3,,,3,,,,,,,,,case breakdown
case,CONS_0036,,consistency,3,,,3,,3,,,,,,,,,,case breakdown
case,CONS_0037,,consistency,3,,,3,,3,,,,,,,,,,case breakdown
case,LONGTAIL_0011,,longtail,3,,,3,,3,,,,,,,,,,case breakdown
case,LONGTAIL_0012,,longtail,3,,,3,,3,,,,,,,,,,case breakdown
case,LONGTAIL_0013,,longtail,3,,,3,,3,,,,,,,,,,case breakdown
case,LONGTAIL_0022,,longtail,3,,,3,,3,,,,,,,,,,case breakdown
case,LONGTAIL_0023,,longtail,3,,,1,2,1,,2,,,,,,,,case breakdown
case,LONGTAIL_0024,,longtail,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0006,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0007,,performance,3,,,3,,2,1,,,,,,,,,case breakdown
case,PERF_0008,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0013,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0017,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0019,,performance,3,,,2,1,2,,1,,,,,,,,case breakdown
case,PERF_0024,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0033,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0034,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0035,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0052,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0054,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0056,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0062,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PERF_0077,,performance,3,,,2,1,2,,1,,,,,,,,case breakdown
case,PERF_0082,,performance,3,,,3,,3,,,,,,,,,,case breakdown
case,PORT_0003,,portability,3,,2,1,,1,,,2,,,,,,,case breakdown
case,PORT_0004,,portability,3,,1,1,1,1,,1,1,,,,,,,case breakdown
case,PORT_0005,,portability,3,,2,1,,1,,,2,,,,,,,case breakdown
case,PORT_0008,,portability,3,,,1,2,1,,2,,,,,,,,case breakdown
case,PORT_0012,,portability,3,,,1,2,1,,2,,,,,,,,case breakdown
case,PORT_0013,,portability,3,,,1,2,1,,2,,,,,,,,case breakdown
case,PORT_0022,,portability,3,,,1,2,1,,2,,,,,,,,case breakdown
case,PORT_0024,,portability,3,,,2,1,1,1,1,,,,,,,,case breakdown
case,PORT_0025,,portability,3,,,1,2,1,,2,,,,,,,,case breakdown
mismatch,CONS_0024,mysql,consistency,,,,1,,,1,,,executed,mismatch,result_mismatch,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0024/mysql/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/logs/cons_0024__mysql__direct_llm_same_engine_rewrite.stderr.log,exact_match=false; sorted_match=false
mismatch,CONS_0024,pg,consistency,,,,1,,,1,,,executed,mismatch,result_mismatch,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0024/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/logs/cons_0024__pg__direct_llm_same_engine_rewrite.stderr.log,exact_match=false; sorted_match=false
