case_id,pool,engine,route_id,source_sql_path,schema_path,prompt_input_available,target_output_path,generation_status,exclusion_reason,caveat,expected_execution_engine,denominator_id,method_id
CONS_0005,consistency,mysql,direct_llm_same_engine_rewrite,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_mysql.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/mysql/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,mysql,common_core_v0_40,direct_llm
CONS_0005,consistency,pg,direct_llm_same_engine_rewrite,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_pg.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/pg/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,pg,common_core_v0_40,direct_llm
CONS_0005,consistency,spark,direct_llm_same_engine_rewrite,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_spark.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/spark/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,spark,common_core_v0_40,direct_llm
CONS_0007,consistency,mysql,direct_llm_same_engine_rewrite,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_mysql.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/mysql/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,mysql,common_core_v0_40,direct_llm
CONS_0007,consistency,pg,direct_llm_same_engine_rewrite,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_pg.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/pg/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,pg,common_core_v0_40,direct_llm
CONS_0007,consistency,spark,direct_llm_same_engine_rewrite,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_spark.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/spark/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,spark,common_core_v0_40,direct_llm
CONS_0009,consistency,mysql,direct_llm_same_engine_rewrite,cases/CONS/CONS_0009/source.sql,cases/CONS/CONS_0009/schema/ddl_mysql.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/mysql/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,mysql,common_core_v0_40,direct_llm
CONS_0009,consistency,pg,direct_llm_same_engine_rewrite,cases/CONS/CONS_0009/source.sql,cases/CONS/CONS_0009/schema/ddl_pg.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/pg/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,pg,common_core_v0_40,direct_llm
CONS_0009,consistency,spark,direct_llm_same_engine_rewrite,cases/CONS/CONS_0009/source.sql,cases/CONS/CONS_0009/schema/ddl_spark.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/spark/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,spark,common_core_v0_40,direct_llm
CONS_0010,consistency,mysql,direct_llm_same_engine_rewrite,cases/CONS/CONS_0010/source.sql,cases/CONS/CONS_0010/schema/ddl_mysql.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0010/mysql/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,mysql,common_core_v0_40,direct_llm
CONS_0010,consistency,pg,direct_llm_same_engine_rewrite,cases/CONS/CONS_0010/source.sql,cases/CONS/CONS_0010/schema/ddl_pg.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0010/pg/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,pg,common_core_v0_40,direct_llm
CONS_0010,consistency,spark,direct_llm_same_engine_rewrite,cases/CONS/CONS_0010/source.sql,cases/CONS/CONS_0010/schema/ddl_spark.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0010/spark/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,spark,common_core_v0_40,direct_llm
CONS_0011,consistency,mysql,direct_llm_same_engine_rewrite,cases/CONS/CONS_0011/source.sql,cases/CONS/CONS_0011/schema/ddl_mysql.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0011/mysql/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,mysql,common_core_v0_40,direct_llm
CONS_0011,consistency,pg,direct_llm_same_engine_rewrite,cases/CONS/CONS_0011/source.sql,cases/CONS/CONS_0011/schema/ddl_pg.sql,yes,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0011/pg/direct_llm_same_engine_rewrite.sql,ready_for_generation,,none,pg,common_core_v0_40,direct_llm
