run_id,method_id,control_group,pool_scope,denominator_cases,control_events,control_valid_cases,control_failure_cases,control_expected_behavior,control_observed_behavior,notes
controls_v0_manual_pg_mysql_40_01,controls,native_source,all,40,80,40,0,must_match,skipped=9; success=71,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,native_source,performance,16,32,16,0,must_match,success=32,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,native_source,consistency,9,18,9,0,must_match,success=18,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,native_source,portability,9,18,9,0,must_match,skipped=9; success=9,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,native_source,longtail,6,12,6,0,must_match,success=12,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,human_positive,all,40,80,40,0,must_match,skipped=9; success=71,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,human_positive,performance,16,32,16,0,must_match,success=32,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,human_positive,consistency,9,18,9,0,must_match,success=18,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,human_positive,portability,9,18,9,0,must_match,skipped=9; success=9,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,human_positive,longtail,6,12,6,0,must_match,success=12,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,hard_negative,all,40,80,40,0,must_fail,skipped=9; success=71,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,hard_negative,performance,16,32,16,0,must_fail,success=32,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,hard_negative,consistency,9,18,9,0,must_fail,success=18,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,hard_negative,portability,9,18,9,0,must_fail,skipped=9; success=9,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
controls_v0_manual_pg_mysql_40_01,controls,hard_negative,longtail,6,12,6,0,must_fail,success=12,Derived from run_event_long; manual PG/MySQL 40-case subset of common_core_v0_40; failed/skipped rows remain explicit
