case_id,pool,normalized_source_hash_available,excluded_from_retrieval,exact_match_checked,near_duplicate_checked,generated_outputs_excluded,attestation_status,blocker_reason
PERF_0006,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0007,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0008,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0013,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0017,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0019,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0024,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0033,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0034,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0035,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0052,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0054,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0056,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0062,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0077,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PERF_0082,performance,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
CONS_0005,consistency,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
CONS_0007,consistency,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
CONS_0009,consistency,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
CONS_0010,consistency,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
CONS_0011,consistency,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
CONS_0012,consistency,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
CONS_0024,consistency,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
CONS_0036,consistency,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
CONS_0037,consistency,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PORT_0003,portability,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PORT_0004,portability,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PORT_0005,portability,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PORT_0008,portability,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PORT_0012,portability,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PORT_0013,portability,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PORT_0022,portability,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PORT_0024,portability,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
PORT_0025,portability,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
LONGTAIL_0011,longtail,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
LONGTAIL_0012,longtail,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
LONGTAIL_0013,longtail,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
LONGTAIL_0022,longtail,no,policy_defined_but_not_attested,no,no,policy_defined_but_not_attested,blocked_pending_hash_check,normalized source hash not yet retained; exact-match and near-duplicate exclusion checks not yet executed; generated-output exclusion not yet attested in machine-readable artifact
