substrate_item,category,current_identity_or_path,current_state,formal_decision,formal_target_or_policy,retention_or_rebuild_path,blocks_formal_run,exact_blocker
LLM4Rewrite_clone,upstream_clone,"remote=https://github.com/curtis-sun/LLM4Rewrite ; commit=c9c90e5d7867888c3aaba86e4fc9e6d48f53b375 ; current_path=/tmp/rewritebench_prior_method_audit/LLM4Rewrite",tmp_only_identified,deterministically_rebuild_from_pinned_inputs,"formal runtime must be built from the pinned upstream commit only","retain remote+commit in manifest; rebuild runtime from pinned checkout recipe",yes,"formal runtime build recipe and retained runtime attestation are not yet materialized"
knowledge_base_rule_corpus,knowledge_base,"/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base ; anchor=rule_cluster_summaries_structured.jsonl ; sha256=039823a6b5e87476dfc7a7be1cc9ac1bbeed31ec8972ceaa72364c1a56a03b5d ; rule_cluster_funcs_count=30",tmp_only_partially_hashed,deterministically_rebuild_from_pinned_inputs,"corpus contents must come from the pinned upstream checkout with manifest-complete inventory","retain anchor hashes and counts in manifest; rebuild corpus from pinned checkout",yes,"full manifest-complete corpus inventory is not yet frozen"
stackoverflow_rewrite_embed_zip,retrieval_archive,"/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip ; sha256=e7e68b08a4283467f899f05a3150c485e2bf615ccdde4f4ab76e0f08734e546a",tmp_only_hashed,retain_as_external_artifact_with_checksum,"same archive bytes must be referenced by external URI plus checksum","external retained artifact URI plus sha256 in freeze manifest",yes,"external retained artifact URI/provenance is not yet assigned"
chroma_db_index,rag_index,"/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db ; scratch anchors hashed",tmp_only_scratch_index,deterministically_rebuild_from_pinned_inputs,"formal index must be rebuilt under one frozen build recipe and one frozen total dimension contract","documented rebuild recipe from pinned corpus and pinned dependency snapshot",yes,"current scratch index is not admissible as formal benchmark substrate"
formal_total_dimension_policy,vector_contract,"current visible index contract=3172 = 1536 + 100 + 1536 ; failing runtime contract=3139 = 1536 + 67 + 1536",exploratory_mismatch_visible,unsupported_must_block_formal_run,"formal total dimension must be 3172 with deterministic rule-vector width 100","freeze runtime/index dimension policy before any formal build",yes,"exploratory patch path is not acceptable as formal evidence"
rule_vector_dimension,vector_contract,"PG1 exploratory patch target dim=100 ; actual exploratory patch applied=true",exploratory_patch_only,unsupported_must_block_formal_run,"rule-vector width must be frozen at 100 and matched by runtime and index without ad hoc padding/truncation","dimension policy must be encoded in formal runtime and index rebuild recipe",yes,"rule-vector alignment is not yet deterministic"
smoke_formal_venv,execution_env,"/tmp/rewritebench_rbot_llm4rewrite_venv_smoke ; requirements_sha256=7c944dc6c40904d97e580890d907eea28bddc1615371659441d740a902d9a9c0",tmp_only_env,repo_manifest_only,"do not retain venv; retain requirements, package snapshot, python path, and build recipe","manifest requirements checksum and package snapshot only",no,"formal package snapshot write-up is still needed but venv itself is intentionally not retained"
provider_model_config,model_config,"model=gpt-4o-mini ; provider_family=openai_compatible ; default_provider=api.gptsapi.net ; default_base_url=https://api.gptsapi.net/v1 ; temperature=0 ; top_p=1 ; max_tokens=2048 ; candidate_count=1 ; feedback_rounds=0",parameter_shape_defined,repo_manifest_only,"exact provider/model/base_url must be logged without secrets","parameter freeze manifest plus run-time metadata logging",no,"formal run metadata logger is not yet materialized"
demo_selection_policy,demo_policy,"top_k=unknown ; threshold=unknown ; reranking=unknown ; exclusion policy required",not_frozen,unsupported_must_block_formal_run,"freeze retrieval mode, top_k, threshold if any, reranking/fusion mode, and no-manual-override policy","formal demo policy artifact plus retained run-time settings",yes,"exact demo selection settings are not yet frozen"
contamination_guard,policy_attestation,"must exclude all common_core_v0_40 cases and benchmark-generated outputs from SQLGlot/Direct LLM/Calcite/R-Bot recovery canaries; normalized SQL matching required",defined_but_unattested,unsupported_must_block_formal_run,"formal attestation must cover denominator exclusion, generated-output exclusion, normalized SQL hash policy, and no post-hoc tuning","formal contamination attestation artifact retained with run package",yes,"guard is not yet attested in formal artifacts"
artifact_contract,artifact_contract,"generated SQL ; selected rules ; retrieval trace ; prompt ; raw response ; token/cost/provider metadata ; environment snapshot ; run_results",defined_but_unsatisfied,repo_manifest_only,"future formal run must satisfy the complete retained artifact contract row-by-row and package-wide","formal run package under reports/evaluation/common_core_v0/runs/r_bot_common_core_v0_40_same_engine_generation_01/",yes,"no formal denominator-aware run has yet satisfied the contract"
