corpus_item_id,source_family,path,path_status,text_readable,sha256_available,included_for_formal_retrieval,included_for_contamination_check,blocker_reason
llm4rewrite_clone_root,upstream_clone,/tmp/rewritebench_prior_method_audit/LLM4Rewrite,tmp_only,no,no,no,no,directory_anchor_only_not_text_readable
knowledge_base_root,knowledge_base_root,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base,tmp_only,no,no,no,no,directory_anchor_only_not_text_readable
rule_cluster_summaries,knowledge_base_summary,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_summaries_structured.jsonl,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_0,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/0.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_1,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/1.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_2,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_3,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/3.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_4,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/4.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_5,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/5.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_6,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/6.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_7,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/7.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_8,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/8.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_9,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/9.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_10,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/10.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_11,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/11.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_12,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/12.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_13,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/13.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_14,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/14.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_15,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/15.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_16,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/16.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_17,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/17.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_18,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/18.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_19,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/19.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_20,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/20.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_21,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/21.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_22,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/22.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_23,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/23.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_24,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/24.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_25,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/25.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_26,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/26.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_27,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/27.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_28,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/28.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
rule_cluster_func_29,knowledge_base_rule_func,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/29.py,tmp_only,yes,yes,yes,yes,tmp_only_text_corpus_file_not_formally_retained
stackoverflow_rewrite_embed_zip_container,retrieval_archive,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip,tmp_only,no,yes,yes,no,binary_archive_container_use_member_rows_for_text_audit; retained_external_provenance_missing
stackoverflow_rewrite_embed_query_jsonl,retrieval_archive_member,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip::stackoverflow-rewrite-query-optimization.jsonl,tmp_only,yes,yes,yes,yes,text_present_inside_tmp_only_archive_requires_deterministic_member_streaming; retained_external_provenance_missing
stackoverflow_rewrite_embed_rules_jsonl,retrieval_archive_member,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip::stackoverflow-rewrite-rules-query-optimization.jsonl,tmp_only,yes,yes,yes,yes,text_present_inside_tmp_only_archive_requires_deterministic_member_streaming; retained_external_provenance_missing
stackoverflow_rewrite_embed_sql_templates_jsonl,retrieval_archive_member,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip::stackoverflow-rewrite-sql-templates-query-optimization.jsonl,tmp_only,yes,yes,yes,yes,text_present_inside_tmp_only_archive_requires_deterministic_member_streaming; retained_external_provenance_missing
stackoverflow_rewrite_embed_sql_templates_embed_jsonl,retrieval_archive_member,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip::stackoverflow-rewrite-sql-templates-embed-query-optimization.jsonl,tmp_only,yes,yes,yes,yes,text_present_inside_tmp_only_archive_requires_deterministic_member_streaming; embedding_payload_present; retained_external_provenance_missing
