case_id,pool,normalized_source_hash_available,normalized_source_hash,excluded_from_retrieval,exact_match_checked,exact_match_found_in_manifest,exact_match_found_in_generated_outputs,near_duplicate_checked,generated_outputs_excluded,attestation_status,blocker_reason
PERF_0006,performance,yes,699f86f29350ab3407c861181426ca839ac00a853f2d01ba6378178fe3d0bfcf,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0007,performance,yes,7b7e49127440906f80e5df3834a1521e5f5b20055a53d3ae73c46742e9a65649,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0008,performance,yes,f7295cd38843cebac720b7371e0a5250ed48d05c9f87d92eeed07f77b1652bde,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0013,performance,yes,6c01d0778c12e2af1d51fa14825e2bfa6e99dc70c7dc32f36a8b984f29a2d44b,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0017,performance,yes,18a0260906ed7a3978be83f7376208a4100f51c582f976070732f17224cb0911,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0019,performance,yes,4fadf11b0c7a4d17167f8905cdc778cd9e066a35c367475a0035a18be406740b,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0024,performance,yes,63c4ac3ef195907a17146bb070897e82482ef8225d17454ac2e5a7d95cba6dfa,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0033,performance,yes,0bbf2550e70a8f7853861db20a689f3828faa89fa1966361fbf46dfb4baac592,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0034,performance,yes,ca4fcfd17848753a4c2433b1e5b5d9bd09b8752aedbf483d539c3615d7d81c13,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0035,performance,yes,44ffdc9a597f494a52fa3fcc4b51ab847765bbfc7fd98f973d142ccd8242efc1,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0052,performance,yes,9eb39c78d26ba128a538a90b2e3291db8b309720df6782b242f17c6ba0ae81bf,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0054,performance,yes,4192bad9b40f12feff12261e05ca1270888ac67261a8288c61746f72f9ab8a2c,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0056,performance,yes,120f433e4b8141a3ff52601c7845b8ea4021f5cb2f122f4552474653328f251e,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
