artifact_id,artifact_group,artifact_path_or_identifier,known_now,tmp_only,has_sha256_or_anchor_hash,sha256_or_anchor_hash,retained_external_uri_or_provenance_present,deterministic_rebuild_role,formal_status,exact_blocker
llm4rewrite_clone,corpus,/tmp/rewritebench_prior_method_audit/LLM4Rewrite,yes,yes,no,,no,pinned_upstream_checkout_for_rebuild,draft,retained benchmark package path does not yet exist
knowledge_base_root,corpus,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base,yes,yes,no,,no,knowledge_base_root_for_rebuild,blocked,inventory-complete manifest is missing
rule_cluster_summaries,corpus,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_summaries_structured.jsonl,yes,yes,yes,039823a6b5e87476dfc7a7be1cc9ac1bbeed31ec8972ceaa72364c1a56a03b5d,no,anchor_corpus_file_for_rebuild,draft,root corpus inventory is still incomplete
rule_cluster_funcs_dir,corpus,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs,yes,yes,no,,no,rule_function_assets_for_rebuild,blocked,only file_count=30 is retained
stackoverflow_rewrite_embed_zip,corpus,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip,yes,yes,yes,e7e68b08a4283467f899f05a3150c485e2bf615ccdde4f4ab76e0f08734e546a,no,retrieval_archive_for_rebuild,blocked,retained external URI/provenance handle is missing
rag_prompts_source,corpus,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/prompts.py,yes,yes,yes,5d512e0ce872f9818731ef36afa997f50d762af2b40cf54e3f2897f0ee83a8fd,no,prompt_source_reproducibility_anchor,draft,policy source is hashed but runtime/package retention is still open
rewriter_prompts_source,corpus,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/my_rewriter/prompts.py,yes,yes,yes,8343c81948836589d4b21c76e82bdc7d2e448afb57ca416805a87b054a0e3999,no,prompt_source_reproducibility_anchor,draft,policy source is hashed but runtime/package retention is still open
rewriter_config_source,corpus,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/my_rewriter/config.py,yes,yes,yes,0440f9dfe5b7ee00f276f9edb3b8b776da5ada21829db2eafc5b7d1aa0bf98d8,no,config_source_reproducibility_anchor,draft,provider/model retention artifact is still open
chroma_index_root,index,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db,yes,yes,no,,no,target_index_rebuild_output_reference,blocked,formal rebuilt index package does not yet exist
chroma_sqlite,index,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db/chroma.sqlite3,yes,yes,yes,50d5c588aaae41b3f0d26b7f53b1546bde30632765efaa0a428d9118236392d5,no,historical_anchor_only,draft,current anchor is scratch-lineage only
chroma_index_metadata,index,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db/cbe4ef38-1d2b-4a34-87de-2028505d6c1c/index_metadata.pickle,yes,yes,yes,aa39371d0b6c369442bebb8df4b4fca759d6b5abd1a58a2f84b29dd1d61a84d4,no,historical_anchor_only,draft,current anchor is scratch-lineage only
chroma_header,index,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db/cbe4ef38-1d2b-4a34-87de-2028505d6c1c/header.bin,yes,yes,yes,56ac6fd6e2797ab645da45c1904068a760d15d62e298a4307443b2cad56cbffa,no,historical_anchor_only,draft,current anchor is scratch-lineage only
rag_build_log,index,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag_gen_build.log,yes,yes,no,,no,build_provenance_hint_only,draft,log exists but is not retained as formal build provenance artifact
formal_dimension_contract,index,3172=1536+100+1536,yes,no,no,,yes,deterministic_index_dimension_policy,pass,policy is frozen but implementation artifact is pending
rule_vector_width_policy,index,100,yes,no,no,,yes,deterministic_rule_vector_policy,pass,no further policy blocker; only retained rebuilt index blocker remains

