method_id,route_id,column_name,regenerated_value,expected_value,comparison_status,source_artifact,notes
direct_llm,direct_llm_same_engine_rewrite,method / route,Direct LLM original,Direct LLM original,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
direct_llm,direct_llm_same_engine_rewrite,scope,tri-engine same-engine,tri-engine same-engine,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
direct_llm,direct_llm_same_engine_rewrite,planned,120,120,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
direct_llm,direct_llm_same_engine_rewrite,generated_or_ready,120 generated; 115 ready,120 generated; 115 ready,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
direct_llm,direct_llm_same_engine_rewrite,executed,99,99,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
direct_llm,direct_llm_same_engine_rewrite,exact,94,94,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
direct_llm,direct_llm_same_engine_rewrite,timed,94,94,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
direct_llm,direct_llm_same_engine_rewrite,gm_speedup,1.043634242319266,1.043634242319266,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
direct_llm,direct_llm_same_engine_rewrite,regression_rate_20pct,0.03191489361702127,0.03191489361702127,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
direct_llm,direct_llm_same_engine_rewrite,placement,main same-engine evidence,main same-engine evidence,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
direct_llm,direct_llm_execute_repair_1shot,method / route,Direct LLM + Repair-1,Direct LLM + Repair-1,artifact_boundary_match,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,
direct_llm,direct_llm_execute_repair_1shot,scope,tri-engine feedback route,tri-engine feedback route,artifact_boundary_match,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,
direct_llm,direct_llm_execute_repair_1shot,planned,120,120,exact_match,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,
direct_llm,direct_llm_execute_repair_1shot,generated_or_ready,120 generated; 5 preflight-blocked,120 generated; 5 preflight-blocked,exact_match,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,
direct_llm,direct_llm_execute_repair_1shot,executed,97,97,exact_match,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,"Direct LLM repair executed = exact + mismatch = 97 / 96 + 1; ready_after_preflight/not_preflight_blocked 115 is not executed. table3 retains composite wording, so candidate_failure_accounting_v1 is the safer executed-semantics source."
direct_llm,direct_llm_execute_repair_1shot,exact,96,96,exact_match,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,
direct_llm,direct_llm_execute_repair_1shot,timed,96,96,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
direct_llm,direct_llm_execute_repair_1shot,gm_speedup,1.0430582867389244,1.0430582867389244,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
direct_llm,direct_llm_execute_repair_1shot,regression_rate_20pct,0.041666666666666664,0.041666666666666664,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
direct_llm,direct_llm_execute_repair_1shot,placement,route-level evidence; mixed-source timing,route-level evidence; mixed-source timing,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_optimize_same_dialect,method / route,SQLGlot optimize,SQLGlot optimize,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_optimize_same_dialect,scope,tri-engine route,tri-engine route,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_optimize_same_dialect,planned,120,120,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_optimize_same_dialect,generated_or_ready,120 attempted; 75 generated,120 attempted; 75 generated,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_optimize_same_dialect,executed,65,65,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_optimize_same_dialect,exact,63,63,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,"Older result card reports exact65, but backfill-adjusted Table 3/candidate_failure/table6 retain the paper-safe exact63 value."
sqlglot,sqlglot_optimize_same_dialect,timed,63,63,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
sqlglot,sqlglot_optimize_same_dialect,gm_speedup,0.9907164888740984,0.9907164888740984,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
sqlglot,sqlglot_optimize_same_dialect,regression_rate_20pct,0.015873015873015872,0.015873015873015872,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
sqlglot,sqlglot_optimize_same_dialect,placement,revised exact63 route,revised exact63 route,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_transpile_same_dialect_noop,method / route,SQLGlot no-op,SQLGlot no-op,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_transpile_same_dialect_noop,scope,tri-engine route,tri-engine route,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_transpile_same_dialect_noop,planned,120,120,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_transpile_same_dialect_noop,generated_or_ready,120 attempted; 78 generated,120 attempted; 78 generated,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_transpile_same_dialect_noop,executed,72,72,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_transpile_same_dialect_noop,exact,72,72,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
sqlglot,sqlglot_transpile_same_dialect_noop,timed,72,72,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
sqlglot,sqlglot_transpile_same_dialect_noop,gm_speedup,1.000145903000493,1.000145903000493,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
sqlglot,sqlglot_transpile_same_dialect_noop,regression_rate_20pct,0.013888888888888888,0.013888888888888888,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
sqlglot,sqlglot_transpile_same_dialect_noop,placement,no-op / low-transform route,no-op / low-transform route,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
calcite_hep,calcite_hep_fail_closed_120,method / route,Calcite HEP fail-closed,Calcite HEP fail-closed,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
calcite_hep,calcite_hep_fail_closed_120,scope,tri-engine fail-closed route,tri-engine fail-closed route,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
calcite_hep,calcite_hep_fail_closed_120,planned,120,120,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
calcite_hep,calcite_hep_fail_closed_120,generated_or_ready,retained route artifacts,retained route artifacts,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
calcite_hep,calcite_hep_fail_closed_120,executed,95,95,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
calcite_hep,calcite_hep_fail_closed_120,exact,93,93,exact_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
calcite_hep,calcite_hep_fail_closed_120,timed,93,93,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
calcite_hep,calcite_hep_fail_closed_120,gm_speedup,0.995917121478,0.995917121478,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
calcite_hep,calcite_hep_fail_closed_120,regression_rate_20pct,0.0752688172043,0.0752688172043,exact_match,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,
calcite_hep,calcite_hep_fail_closed_120,placement,correctness-gated timing packet,correctness-gated timing packet,artifact_boundary_match,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,
r_bot,r_bot_same_engine_rewrite,method / route,R-Bot,R-Bot,artifact_boundary_match,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,Mixed-scope appendix: formal 120 generation plus PG-scoped execution/timing subsets.
