case_id,pool,engine,route_id,validity_outcome,execution_status_observed,consistency_check_status,source_sql_path,generated_sql_path,schema_path,witness_data_path,source_output_path,generated_output_path,result_check_path,timing_eligible,speedup_eligible,exclusion_reason,expected_timing_output_path,caveat
CONS_0005,consistency,pg,direct_llm_same_engine_rewrite,match_exact,executed,match_exact,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0005/schema/ddl_pg.sql,cases/CONS/CONS_0005/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0005/pg/direct_llm_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0005/pg/direct_llm_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0005/pg/direct_llm_same_engine_rewrite/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/timings/CONS_0005/pg/direct_llm_same_engine_rewrite.json,"common_core_v0 consistency candidate; human review required before freeze ; manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0005_pg_validation; PostgreSQL-only witness validation for CONS_0005.; No MySQL or Spark validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
CONS_0005,consistency,mysql,direct_llm_same_engine_rewrite,match_exact,executed,match_exact,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/mysql/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0005/schema/ddl_mysql.sql,cases/CONS/CONS_0005/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0005/mysql/direct_llm_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0005/mysql/direct_llm_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0005/mysql/direct_llm_same_engine_rewrite/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/timings/CONS_0005/mysql/direct_llm_same_engine_rewrite.json,"common_core_v0 consistency candidate; human review required before freeze ; manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0005_mysql_validation; MySQL-only witness validation for CONS_0005.; No PostgreSQL or Spark validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
CONS_0005,consistency,spark,direct_llm_same_engine_rewrite,match_exact,executed,match_exact,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/spark/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0005/schema/ddl_spark.sql,cases/CONS/CONS_0005/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0005/spark/direct_llm_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0005/spark/direct_llm_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0005/spark/direct_llm_same_engine_rewrite/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/timings/CONS_0005/spark/direct_llm_same_engine_rewrite.json,"common_core_v0 consistency candidate; human review required before freeze ; manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0005_spark_validation; resolved_package_uses_original_ready36_success_record; Spark-only witness validation for CONS_0005.; No PostgreSQL or MySQL validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
CONS_0007,consistency,pg,direct_llm_same_engine_rewrite,match_exact,executed,match_exact,cases/CONS/CONS_0007/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0007/schema/ddl_pg.sql,cases/CONS/CONS_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0007/pg/direct_llm_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0007/pg/direct_llm_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0007/pg/direct_llm_same_engine_rewrite/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/timings/CONS_0007/pg/direct_llm_same_engine_rewrite.json,"common_core_v0 consistency candidate; human review required before freeze ; manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0007_pg_validation; PostgreSQL-only witness validation for CONS_0007.; No MySQL or Spark validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
CONS_0007,consistency,mysql,direct_llm_same_engine_rewrite,match_exact,executed,match_exact,cases/CONS/CONS_0007/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/mysql/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0007/schema/ddl_mysql.sql,cases/CONS/CONS_0007/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0007/mysql/direct_llm_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0007/mysql/direct_llm_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0007/mysql/direct_llm_same_engine_rewrite/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/timings/CONS_0007/mysql/direct_llm_same_engine_rewrite.json,"common_core_v0 consistency candidate; human review required before freeze ; manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0007_mysql_validation; MySQL-only witness validation for CONS_0007.; No PostgreSQL or Spark validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
CONS_0007,consistency,spark,direct_llm_same_engine_rewrite,match_exact,executed,match_exact,cases/CONS/CONS_0007/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/spark/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0007/schema/ddl_spark.sql,cases/CONS/CONS_0007/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0007/spark/direct_llm_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0007/spark/direct_llm_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0007/spark/direct_llm_same_engine_rewrite/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/timings/CONS_0007/spark/direct_llm_same_engine_rewrite.json,"common_core_v0 consistency candidate; human review required before freeze ; manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0007_spark_validation; resolved_package_uses_original_ready36_success_record; Spark-only witness validation for CONS_0007.; No PostgreSQL or MySQL validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
CONS_0009,consistency,pg,direct_llm_same_engine_rewrite,match_exact,executed,match_exact,cases/CONS/CONS_0009/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0009/schema/ddl_pg.sql,cases/CONS/CONS_0009/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0009/pg/direct_llm_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0009/pg/direct_llm_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0009/pg/direct_llm_same_engine_rewrite/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/timings/CONS_0009/pg/direct_llm_same_engine_rewrite.json,"common_core_v0 consistency candidate; human review required before freeze ; manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0009_pg_validation; PostgreSQL-only witness validation for CONS_0009.; No MySQL or Spark validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
CONS_0009,consistency,mysql,direct_llm_same_engine_rewrite,match_exact,executed,match_exact,cases/CONS/CONS_0009/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/mysql/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0009/schema/ddl_mysql.sql,cases/CONS/CONS_0009/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0009/mysql/direct_llm_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0009/mysql/direct_llm_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0009/mysql/direct_llm_same_engine_rewrite/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/timings/CONS_0009/mysql/direct_llm_same_engine_rewrite.json,"common_core_v0 consistency candidate; human review required before freeze ; manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0009_mysql_validation; MySQL-only witness validation for CONS_0009.; No PostgreSQL or Spark validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
CONS_0009,consistency,spark,direct_llm_same_engine_rewrite,match_exact,executed,match_exact,cases/CONS/CONS_0009/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/spark/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0009/schema/ddl_spark.sql,cases/CONS/CONS_0009/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0009/spark/direct_llm_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0009/spark/direct_llm_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0009/spark/direct_llm_same_engine_rewrite/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/timings/CONS_0009/spark/direct_llm_same_engine_rewrite.json,"common_core_v0 consistency candidate; human review required before freeze ; manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0009_spark_validation; resolved_package_uses_original_ready36_success_record; Spark-only witness validation for CONS_0009.; No PostgreSQL or MySQL validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
CONS_0010,consistency,pg,direct_llm_same_engine_rewrite,match_exact,executed,match_exact,cases/CONS/CONS_0010/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0010/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0010/schema/ddl_pg.sql,cases/CONS/CONS_0010/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0010/pg/direct_llm_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0010/pg/direct_llm_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0010/pg/direct_llm_same_engine_rewrite/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/timings/CONS_0010/pg/direct_llm_same_engine_rewrite.json,"common_core_v0 consistency candidate; human review required before freeze ; manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0010_pg_validation; PostgreSQL-only witness validation for CONS_0010.; No MySQL or Spark validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
