case_id,pool,engine,route_id,generation_status,execution_status_observed,consistency_check_status,source_sql_path,generated_sql_path,schema_path,witness_data_path,source_output_path,generated_output_path,result_check_path,timing_eligible,speedup_eligible,exclusion_reason,expected_timing_output_path,caveat
PERF_0006,performance,pg,calcite_hep_pg_rewrite,generation_success,executed,match_exact,cases/PERF/PERF_0006/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0006/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,cases/PERF/PERF_0006/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0006/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0006/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0006/pg/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0006/pg/calcite_hep_pg_rewrite.json,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0007,performance,pg,calcite_hep_pg_rewrite,generation_success,executed,match_exact,cases/PERF/PERF_0007/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0007/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0007/schema/ddl_pg.sql,cases/PERF/PERF_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0007/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0007/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0007/pg/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0007/pg/calcite_hep_pg_rewrite.json,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0008,performance,pg,calcite_hep_pg_rewrite,generation_success,executed,match_exact,cases/PERF/PERF_0008/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0008/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0008/schema/ddl_pg.sql,cases/PERF/PERF_0008/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0008/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0008/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0008/pg/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0008/pg/calcite_hep_pg_rewrite.json,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0013,performance,pg,calcite_hep_pg_rewrite,generation_success,executed,match_exact,cases/PERF/PERF_0013/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0013/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0013/schema/ddl_pg.sql,cases/PERF/PERF_0013/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0013/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0013/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0013/pg/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0013/pg/calcite_hep_pg_rewrite.json,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0017,performance,pg,calcite_hep_pg_rewrite,generation_success,executed,match_exact,cases/PERF/PERF_0017/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0017/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0017/schema/ddl_pg.sql,cases/PERF/PERF_0017/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0017/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0017/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0017/pg/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0017/pg/calcite_hep_pg_rewrite.json,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0019,performance,pg,calcite_hep_pg_rewrite,generation_success,executed,match_exact,cases/PERF/PERF_0019/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0019/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0019/schema/ddl_pg.sql,cases/PERF/PERF_0019/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0019/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0019/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0019/pg/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0019/pg/calcite_hep_pg_rewrite.json,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0024,performance,pg,calcite_hep_pg_rewrite,generation_success,executed,match_exact,cases/PERF/PERF_0024/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0024/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0024/schema/ddl_pg.sql,cases/PERF/PERF_0024/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0024/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0024/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0024/pg/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0024/pg/calcite_hep_pg_rewrite.json,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0033,performance,pg,calcite_hep_pg_rewrite,generation_success,executed,match_exact,cases/PERF/PERF_0033/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0033/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0033/schema/ddl_pg.sql,cases/PERF/PERF_0033/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0033/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0033/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0033/pg/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0033/pg/calcite_hep_pg_rewrite.json,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0034,performance,pg,calcite_hep_pg_rewrite,generation_success,executed,match_exact,cases/PERF/PERF_0034/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0034/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0034/schema/ddl_pg.sql,cases/PERF/PERF_0034/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0034/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0034/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0034/pg/result_check.json,yes,yes,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0034/pg/calcite_hep_pg_rewrite.json,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0035,performance,pg,calcite_hep_pg_rewrite,generation_success,executed,mismatch,cases/PERF/PERF_0035/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0035/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0035/schema/ddl_pg.sql,cases/PERF/PERF_0035/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0035/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0035/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0035/pg/result_check.json,no,no,mismatch,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0035/pg/calcite_hep_pg_rewrite.json,executed_but_result_mismatch_not_timing_eligible
