section_id,table_id,field_or_placeholder,current_draft_value,resolved_value,status,required_action,source_artifact,source_field_or_method,denominator_id,track,engine_scope,claim_boundary,notes
8.2,Table 8,total_cases,unknown_or_draft,40,filled_from_existing_artifact,insert directly from retained denominator composition table,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,TOTAL row,common_core_v0_40,governance,tri_engine_case_set,use frozen common-core v0 denominator only,Accepted denominator contract.
8.2,Table 8,pool_count_performance,unknown_or_draft,16,filled_from_existing_artifact,insert directly from retained pool split,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,PERF row,common_core_v0_40,governance,tri_engine_case_set,do not restate as approximate split,
8.2,Table 8,pool_count_consistency,unknown_or_draft,9,filled_from_existing_artifact,insert directly from retained pool split,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,CONS row,common_core_v0_40,governance,tri_engine_case_set,do not restate as approximate split,
8.2,Table 8,pool_count_portability,unknown_or_draft,9,filled_from_existing_artifact,insert directly from retained pool split,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,PORT row,common_core_v0_40,governance,tri_engine_case_set,do not restate as approximate split,
8.2,Table 8,pool_count_longtail,unknown_or_draft,6,filled_from_existing_artifact,insert directly from retained pool split,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,LONGTAIL row,common_core_v0_40,governance,tri_engine_case_set,do not restate as approximate split,
8.2,Table 8,same_engine_row_count,unknown_or_draft,120,filled_from_existing_artifact,insert direct denominator row count,reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,count(case_id x engine),common_core_v0_40_same_engine_120,Track A,same_engine_pg_mysql_spark,40 cases x 3 engines only,
8.2,Table 8,source_family_split,not_written,Calcite:7|JOB/IMDB:2|PARROT:9|SQLStorm:3|Stack Queries:3|TPC-DS:7|TPC-H:7|VeriEQL:2,computable_from_existing_artifact,aggregate common-core case_ids against case_registry source_family,inventory/case_registry.csv|reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,group by source_family over common-core case_ids,common_core_v0_40,governance,case_level,do not infer source families from prose,Computed from registry plus frozen common-core manifest.
8.2,Table 8,denominator_id,unknown_or_draft,common_core_v0_40_same_engine_120,filled_from_existing_artifact,insert explicit denominator id,reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,denominator_id column,common_core_v0_40_same_engine_120,Track A,same_engine_pg_mysql_spark,keep Track A denominator separate from Track B and Track C,
8.3,Table 9,distinct_tags_sql_feature,not_written,11,computable_from_existing_artifact,count distinct normalized tags by axis over common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,split normalized_tags and group by axis,common_core_v0_40,Track B taxonomy,case_level_all_engines,do not infer from taxonomy prose alone,
8.3,Table 9,cases_covered_sql_feature,not_written,32,computable_from_existing_artifact,count common-core cases with at least one tag in the axis,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,split normalized_tags and count cases by axis,common_core_v0_40,Track B taxonomy,case_level_all_engines,case-level tags only,
8.3,Table 9,distinct_tags_rewrite_opportunity,not_written,18,computable_from_existing_artifact,count distinct normalized tags by axis over common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,split normalized_tags and group by axis,common_core_v0_40,Track B taxonomy,case_level_all_engines,do not infer from taxonomy prose alone,
8.3,Table 9,cases_covered_rewrite_opportunity,not_written,40,computable_from_existing_artifact,count common-core cases with at least one tag in the axis,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,split normalized_tags and count cases by axis,common_core_v0_40,Track B taxonomy,case_level_all_engines,case-level tags only,
8.3,Table 9,distinct_tags_plan_operator,not_written,11,computable_from_existing_artifact,count distinct normalized tags by axis over common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,split normalized_tags and group by axis,common_core_v0_40,Track B taxonomy,case_level_all_engines,do not infer from taxonomy prose alone,
8.3,Table 9,cases_covered_plan_operator,not_written,40,computable_from_existing_artifact,count common-core cases with at least one tag in the axis,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,split normalized_tags and count cases by axis,common_core_v0_40,Track B taxonomy,case_level_all_engines,case-level tags only,
8.3,Table 9,distinct_tags_workload_realism,not_written,8,computable_from_existing_artifact,count distinct normalized tags by axis over common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,split normalized_tags and group by axis,common_core_v0_40,Track B taxonomy,case_level_all_engines,do not infer from taxonomy prose alone,
8.3,Table 9,cases_covered_workload_realism,not_written,32,computable_from_existing_artifact,count common-core cases with at least one tag in the axis,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,split normalized_tags and count cases by axis,common_core_v0_40,Track B taxonomy,case_level_all_engines,case-level tags only,
8.3,Table 9,distinct_tags_portability,not_written,9,computable_from_existing_artifact,count distinct normalized tags by axis over common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,split normalized_tags and group by axis,common_core_v0_40,Track B taxonomy,case_level_all_engines,do not infer from taxonomy prose alone,
8.3,Table 9,cases_covered_portability,not_written,24,computable_from_existing_artifact,count common-core cases with at least one tag in the axis,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,split normalized_tags and count cases by axis,common_core_v0_40,Track B taxonomy,case_level_all_engines,case-level tags only,
8.3,Table 9,top_tags_overall,not_written,plan_operator:present:scan:40|plan_operator:present:aggregate:34|plan_operator:present:join:32|plan_operator:present:sort:23|workload_realism:source_inherited:classic_analytical_baseline:16,computable_from_existing_artifact,aggregate normalized tag frequency over common-core 40,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,"report as retained tag frequency, not semantic importance ranking",
8.3,Table 9,primary_vs_secondary_availability,not_written,primary_tags:17|secondary_tags:12,requires_new_aggregation,build axis-aware primary vs secondary summary from normalized tags,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,parse normalized tag namespace primary/secondary,common_core_v0_40,Track B taxonomy,case_level_all_engines,"requires a new aggregation table, not a new experiment",
8.3,Table 9,confirmed_vs_suspected_portability,not_written,confirmed:6|suspected:3,requires_new_aggregation,aggregate portability tag namespace by confirmed/suspected markers,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,parse portability:confirmed/* and portability:suspected/*,common_core_v0_40,Track C taxonomy,case_level_all_engines,keep confirmed and suspected portability separate,
8.3,Table 10,top_sql_feature_performance,not_written,sql_feature:primary:date_time_function:6|sql_feature:primary:correlated_subquery:3|sql_feature:primary:cte:3|sql_feature:secondary:expression_complexity:2|sql_feature:secondary:subquery_in_from:2,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
8.3,Table 10,top_sql_feature_consistency,not_written,sql_feature:primary:correlated_subquery:7|sql_feature:primary:outer_join:3|sql_feature:primary:subquery_in_from:1|sql_feature:primary:set_operation:1|sql_feature:secondary:subquery_in_from:1,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
8.3,Table 10,top_sql_feature_portability,not_written,sql_feature:primary:date_time_function:5|sql_feature:primary:expression_complexity:4|sql_feature:secondary:expression_complexity:1,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
8.3,Table 10,top_sql_feature_longtail,not_written,sql_feature:primary:cte:5|sql_feature:primary:window_function:3|sql_feature:secondary:expression_complexity:3|sql_feature:secondary:outer_join:2|sql_feature:primary:outer_join:2,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
8.3,Table 10,top_rewrite_opportunity_performance,not_written,rewrite_opportunity:primary:predicate_pushdown:7|rewrite_opportunity:secondary:predicate_pushdown:7|rewrite_opportunity:secondary:join_reorder:4|rewrite_opportunity:secondary:materialization_strategy:3|rewrite_opportunity:primary:subquery_decorrelation:3,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
8.3,Table 10,top_rewrite_opportunity_consistency,not_written,rewrite_opportunity:primary:subquery_decorrelation:6|rewrite_opportunity:secondary:aggregation_rewrite:2|rewrite_opportunity:primary:aggregation_rewrite:2|rewrite_opportunity:secondary:materialization_strategy:1|rewrite_opportunity:primary:order_limit_simplification:1,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
8.3,Table 10,top_rewrite_opportunity_portability,not_written,rewrite_opportunity:primary:dialect_adaptation:9|rewrite_opportunity:secondary:function_normalization:5|rewrite_opportunity:secondary:expression_simplification:4|rewrite_opportunity:secondary:order_limit_simplification:3,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
8.3,Table 10,top_rewrite_opportunity_longtail,not_written,rewrite_opportunity:secondary:aggregation_rewrite:5|rewrite_opportunity:primary:cte_strategy:4|rewrite_opportunity:primary:expression_simplification:1|rewrite_opportunity:secondary:cte_strategy:1|rewrite_opportunity:primary:materialization_strategy:1,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
8.3,Table 10,top_plan_operator_performance,not_written,plan_operator:present:aggregate:16|plan_operator:present:scan:16|plan_operator:present:join:14|plan_operator:present:sort:12|plan_operator:present:limit:8,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
8.3,Table 10,top_plan_operator_consistency,not_written,plan_operator:present:scan:9|plan_operator:present:join:8|plan_operator:present:subquery:7|plan_operator:present:aggregate:7|plan_operator:present:sort:2,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
8.3,Table 10,top_plan_operator_portability,not_written,plan_operator:present:scan:9|plan_operator:present:filter:7|plan_operator:present:aggregate:5|plan_operator:present:join:4|plan_operator:present:limit:3,computable_from_existing_artifact,aggregate top normalized tags by pool and axis from common-core tag matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,pool x normalized_tags frequency,common_core_v0_40,Track B taxonomy,case_level_all_engines,pool-level retained tag coverage only,
